Census_ID,State,District,Census_Year,Total_Population,Male_Population,Female_Population,Urban_Population,Rural_Population,Literates,Illiterates,Age_0_14,Age_15_59,Age_60_Plus
43,Andhra Pradesh,District C,2011,3259020,1421117,1989779,815535,1089093,377221,1704831,1482764,2379341,148477
44,Uttar Pradesh,District A,2011,4796180,1346271,108455,736957,2007202,223753,1641624,498522,1944739,86814
45,Uttar Pradesh,District D,2001,2948681,293358,2380089,1130051,1119807,1028513,1673925,1354194,2428757,264929
46,Kerala,District E,2011,4672008,894285,2134695,1476740,828549,889368,1107797,212812,949773,367601
47,Bihar,District A,2001,1697236,1120837,1400322,2573482,532322,2640060,1581816,448710,1098369,9148
48,Karnataka,District C,2001,1138524,2202174,410477,2805796,2447509,2035627,1187825,1020433,153817,662675
49,Maharashtra,District C,2011,4263041,999151,2235781,1006293,1861636,84095,766234,688062,2063172,698533
50,Bihar,District A,2011,3987405,2329816,1410532,843448,20080,1593536,1844840,386090,2390320,384944
51,Kerala,District C,2001,3253716,1773371,47324,2788757,2036028,1380226,617724,1084015,1128741,547944
52,Andhra Pradesh,District A,2011,608081,1000249,1460599,204669,1749017,2959310,525481,1313267,473262,677500
53,Andhra Pradesh,District A,2001,693332,1567151,1322738,306418,2705034,3769155,451289,37585,2694993,37714
54,Andhra Pradesh,District D,2011,1893698,382692,2359633,2629476,2133203,3016529,715035,63416,1245123,183232
55,Kerala,District B,2001,2590424,1647993,386993,2430643,240603,1365632,1073375,757295,405032,335056
56,Uttar Pradesh,District A,2011,291323,1695615,2076352,1768907,2574013,2050346,833307,1441928,1360868,139829
57,Tamil Nadu,District E,2001,4476724,362946,218844,1179175,549071,2054456,1666751,1397520,1046833,358924
58,Kerala,District D,2011,4064494,2154386,1627933,2894804,1165712,1500926,1496863,1202899,2543295,593525
59,West Bengal,District E,2001,1312189,147700,1627043,1837551,1082146,2905158,1060308,1033386,840722,471341
60,Telangana,District E,2001,4163965,2155212,344071,2959037,1622992,1543054,526921,1281437,1926354,503136
61,Rajasthan,District E,2011,1393607,2319848,2253941,65760,2291959,780465,1241234,809447,956634,162325
62,Tamil Nadu,District C,2001,1761830,2290292,1476532,260876,2345500,1945006,622597,678374,661067,338262
63,West Bengal,District E,2001,665553,460409,1994320,1905699,2187302,543937,587306,99004,1224903,531793
64,Rajasthan,District A,2001,539262,198947,942313,1977148,145665,117230,1271849,22039,734452,156793
65,Kerala,District A,2011,3688412,1012793,1166801,762574,45211,421661,746868,1412282,2774102,231559
66,Andhra Pradesh,District B,2001,1507643,399676,2025361,880658,398129,3519030,1228478,247573,2556411,60133
67,Kerala,District A,2001,1329643,2041100,1557378,1108045,1164985,1543528,1113520,58612,2876154,195965
68,West Bengal,District C,2001,3463835,1712707,297821,2584345,274587,887393,1286775,859831,95694,487343
69,Uttar Pradesh,District E,2001,153967,2462914,2124982,1513331,1941395,1369326,1772864,1067901,1744631,757654
70,Tamil Nadu,District C,2001,4238804,70881,2119631,259952,974915,821912,1731464,591976,338594,676833
71,West Bengal,District B,2001,1556653,1848445,538707,663065,2267236,3423723,362732,1159896,507627,76607
72,Uttar Pradesh,District B,2011,271954,441400,998082,1414696,1331452,837200,85419,699412,394511,365596
73,Andhra Pradesh,District B,2011,3264973,418221,554532,2930177,1144055,3486682,1383286,242337,519050,246613
74,Maharashtra,District B,2001,3173107,1858716,113608,1696418,989620,48882,124482,1280359,2153413,598189
75,Tamil Nadu,District D,2011,2513158,288106,1001505,2518546,213385,3484574,1130030,978364,142319,206392
76,Tamil Nadu,District A,2001,3958170,1182991,531310,623563,188261,186862,1325268,321783,1850685,187300
77,Andhra Pradesh,District A,2001,565274,1990105,1372938,2750953,341453,1927590,1988638,1151022,1689811,702055
78,Kerala,District A,2001,1401100,1526703,208725,1997779,496766,2070252,465693,1288827,323721,70032
79,Telangana,District B,2001,3238020,57748,301036,1504769,197097,599598,944877,1192425,2643331,214243
80,Andhra Pradesh,District E,2001,4110512,1224590,415362,708007,2762449,3592757,32410,1201180,2348464,353975
81,Karnataka,District B,2011,774212,1561612,1795810,1890552,1931178,1950101,674548,77496,1799660,554501
82,Telangana,District C,2001,1128799,2336003,1725397,2044038,2805738,3779846,1100174,1117222,1820773,520161
83,Karnataka,District E,2001,240882,745667,1444370,2216559,2550891,1051847,1001217,1494869,613273,647951
84,Telangana,District D,2011,2837221,1358039,1701859,2446487,870290,3722602,1288666,481057,114294,226834
85,Telangana,District D,2001,3668468,2222864,434984,2751972,1718309,1993821,1749788,643670,1308459,306016
86,Bihar,District B,2011,3752751,1406637,491161,1820341,2916948,1583816,544190,188489,1381313,738685
87,Andhra Pradesh,District C,2001,4810774,2483769,338754,1375614,2680941,995821,1890453,355422,381402,15084
88,Tamil Nadu,District C,2011,3458228,2441804,2225393,1656682,2540566,876676,1545225,794626,41190,277534
89,Bihar,District E,2001,1408670,74474,1645580,2694484,1200623,1976354,1237283,388367,620590,139447
90,Kerala,District B,2001,3981803,1812356,586457,1687834,1868513,3799353,477588,1227883,958354,240554
91,Telangana,District D,2001,790442,1655886,514086,99769,2292364,1711517,1594705,673339,1095514,535344
92,Karnataka,District E,2011,158980,682211,835199,1392037,1196695,2774666,1625465,1060098,2712349,704745
93,Telangana,District A,2001,3466259,792344,961617,2131886,644785,3986419,951832,74484,420411,485820
94,Telangana,District B,2001,1029565,2163463,1987299,2127667,370971,241318,286820,380189,652240,499603
95,Telangana,District C,2011,1996770,1723066,589001,1198531,2427399,18777,758672,1344260,2058825,105248
96,Telangana,District C,2001,271727,1896835,2432494,771273,1446532,2848593,1563620,152606,1716324,694650
97,Telangana,District E,2001,3412386,2020790,2332878,1908228,664728,2709407,1007964,408245,1551094,511621
98,Bihar,District A,2011,1906628,1691539,2273084,2068804,2465213,1164031,1007659,1355685,2478887,426379
99,Uttar Pradesh,District E,2011,633755,973380,2162666,1726100,266007,240061,678246,1225318,1301593,455508
100,West Bengal,District A,2011,1347069,1619112,1217856,2450904,2447388,3506970,530625,550649,1546190,249157
101,Uttar Pradesh,District E,2001,2393441,396942,1710841,1261340,1031128,1560497,1490602,181446,2246110,111126
102,Maharashtra,District D,2001,195507,806925,829434,2440687,239304,3963597,1181706,1106659,716563,17969
103,Bihar,District E,2011,4846022,1620115,1511805,1354780,2901997,3088760,1954919,530839,437072,474997
104,Telangana,District D,2001,2112528,1050481,2368946,1304041,1423926,3894163,1898245,303557,1297974,476677
105,Kerala,District A,2011,2367528,2250829,562135,1601096,2262134,2837840,662061,878961,1726643,633487
106,Telangana,District A,2001,1067027,1570451,918269,168523,308646,3620749,1965015,1045095,795750,13527
107,Karnataka,District D,2001,70353,1131056,1796660,1053332,840387,1695588,762442,1082067,893501,583768
108,Bihar,District C,2011,3212143,503628,1826354,2613460,1354047,1040554,252660,67083,67960,685218
109,Rajasthan,District B,2011,1930952,2328957,1333370,603186,1052334,2948264,1110152,618955,2752509,169840
110,Telangana,District E,2001,3454363,1401600,308809,846963,1993979,2646142,1911414,222837,454871,709797
111,Kerala,District D,2001,3754299,2422233,1016354,607985,190248,226426,1738987,1284550,1623756,61877
112,Telangana,District E,2011,2763273,1037081,64575,1856243,1052637,1827341,1756579,1294192,2998044,695043
113,Andhra Pradesh,District B,2001,1830209,1592003,2430172,1771035,2298013,1473359,1884822,1451004,2214757,527761
114,Kerala,District C,2011,2219921,1065517,261459,2269622,2429686,1562579,1568381,852922,1895611,440063
115,Rajasthan,District A,2001,1056350,1776716,1559712,2532736,2478840,3791982,1475333,180195,1740321,91248
116,Karnataka,District C,2001,4446252,1718455,2027570,1288973,1381762,1891410,76717,1331669,1781432,490372
117,Kerala,District B,2001,3963887,84882,1556019,2373902,2324867,1306235,1862982,868694,2056775,434102
118,Maharashtra,District A,2011,1279933,733078,467372,2864878,1066438,3962851,1711746,1113641,353607,416768
119,Andhra Pradesh,District D,2011,3864451,578508,2410873,731421,353009,1505930,1014386,854359,2914992,516828
120,Tamil Nadu,District C,2001,731752,216328,1703787,2406562,1687906,1231064,1285082,1340173,2937210,753240
121,Kerala,District C,2011,3260397,2343401,1501669,2895270,268110,1636416,181630,101494,1370940,119942
122,Andhra Pradesh,District B,2001,70587,2315613,2046136,2792731,1578352,1115808,1682159,859691,2568702,664938
123,Rajasthan,District E,2011,3990984,1623198,1696328,1259953,1314907,1221481,1973652,629479,203251,109980
124,Telangana,District A,2011,3258114,1846825,240045,1304162,2779828,1012394,1700812,168675,1665821,473036
125,Telangana,District E,2011,3178993,770608,920635,221027,1015606,1684178,1390712,395536,2106721,162722
126,Maharashtra,District B,2011,1642114,92499,1900903,2863250,2034026,1906369,1317909,1237444,2056705,225318
127,Bihar,District B,2011,768547,2226836,2065980,754514,1928620,1360058,649586,1057594,2921499,425745
128,Rajasthan,District E,2011,511964,1936029,395709,872500,2266180,1185341,1807265,29753,282314,221344
129,Uttar Pradesh,District D,2011,3903717,2350058,1177931,2493981,2358005,643787,970455,931552,1413454,566835
130,Andhra Pradesh,District C,2011,352953,89202,1558667,866605,670841,708266,493769,198649,660089,400187
131,Karnataka,District D,2011,4978327,200837,33436,1609170,1527277,2550973,164828,124492,1385219,177177
132,Uttar Pradesh,District A,2011,916005,2450367,1153008,2659475,645966,868891,1895078,675129,656581,398968
133,West Bengal,District A,2011,3821243,1038674,538974,1789905,1444850,3413312,424231,92324,764810,203132
134,Andhra Pradesh,District C,2001,762219,1919106,381110,1590002,1713820,3380718,1901509,371933,2767458,92137
135,Rajasthan,District D,2001,4641943,2231218,2288546,2479170,705437,516826,541330,1336001,904647,636584
136,Uttar Pradesh,District C,2011,1421781,583264,2354368,1568269,2693884,3509545,37509,928215,1592134,610580
137,Karnataka,District A,2001,1579416,1983235,1040397,1686616,1636626,1170627,931190,498107,1062012,503607
138,West Bengal,District B,2011,1358034,2188288,1723023,1014380,930489,1913491,1332751,43506,355978,139765
139,West Bengal,District C,2011,2103991,593245,127019,2607678,257484,3713458,1389315,123581,445695,15480
140,Uttar Pradesh,District E,2011,2821576,36239,1171623,47590,2397158,1749070,444999,987930,127207,479429
141,Karnataka,District E,2001,4823776,1595284,2117202,1328749,1869591,1122882,894033,486474,2604937,58897
142,Tamil Nadu,District D,2011,1673052,1387681,1778005,1798794,2893275,1322073,1027791,1498732,367948,339408
143,Tamil Nadu,District C,2011,3248426,1035327,1064993,44814,1870601,3800546,917056,90565,987383,177007
144,Andhra Pradesh,District D,2011,2733321,1800153,633421,2495304,809595,888528,1343044,672521,2873856,138923
145,Kerala,District E,2011,3104751,2136444,680809,1853494,1116205,844591,1589411,550373,1226496,45884
146,Tamil Nadu,District A,2001,4448459,2183759,2456834,2587994,1617803,804629,749237,403498,1659147,529646
147,Tamil Nadu,District D,2001,1548915,307207,1515628,271652,2934128,3340165,1890579,1358127,84576,694331
148,Bihar,District C,2011,2480228,1693087,1259366,271169,1078211,856017,505441,1360828,1428046,154192
149,Bihar,District D,2011,3040155,147867,1449683,1649984,2054665,405524,1112675,1279313,473453,199123
150,Karnataka,District D,2001,1396637,36528,1380676,2076809,2162762,302660,1917340,1121190,1208167,582964
151,Uttar Pradesh,District A,2001,1816084,1322553,721006,699751,372784,3999503,1668514,432084,2355540,481361
152,Telangana,District D,2011,418371,1740571,2170809,2800225,1675229,3707001,376791,159089,2112493,292812
153,Uttar Pradesh,District B,2011,3354473,743409,2112875,2483015,1138924,1548907,1757105,238880,1191312,705495
154,Bihar,District D,2001,3729704,1925255,1835542,819032,272804,3574353,1548276,893003,555099,307768
155,Telangana,District C,2011,2308540,1967387,1866852,1399669,860549,867806,312745,153098,2615130,441389
156,Maharashtra,District B,2011,345226,135383,2274918,1195413,1787134,1186709,866199,632431,2922092,192511
157,Karnataka,District B,2001,3510150,1682548,1204831,2904967,2591853,2066475,1578975,364656,2466776,180377
158,Bihar,District E,2011,4898764,2346742,1273168,2003392,1503848,3324847,1377888,11724,1873301,137970
159,Uttar Pradesh,District C,2001,2092760,761736,1696655,1038876,1192647,2357457,1929732,286113,1432391,184526
160,Karnataka,District A,2011,1191760,1524737,588842,1923211,699608,1651504,1274235,606385,2805985,41622
161,Karnataka,District E,2011,846293,135794,1446830,2994178,1299118,2293018,948098,1438374,339826,161989
162,Tamil Nadu,District E,2001,4925921,825334,1767299,1551758,1474218,2228488,489118,110683,1386764,218095
163,West Bengal,District B,2001,1127255,1275618,162721,1516126,976897,940825,1964598,1260071,786347,515052
164,Andhra Pradesh,District D,2011,4823673,1925300,2251657,2285360,2729902,3431505,1499574,1477707,331360,186113
165,Uttar Pradesh,District C,2001,3378193,1928938,685019,670843,212746,3194225,1020513,322180,1915478,626658
166,Maharashtra,District D,2001,1059876,75852,993073,2863805,1574686,3406362,671513,544087,1247674,291465
167,Telangana,District B,2011,720856,1320962,719076,870566,87646,2491195,176890,820665,624249,542985
168,Uttar Pradesh,District E,2011,2807148,1905448,618133,1791740,1019264,1509964,1395247,46575,750867,750191
169,Andhra Pradesh,District E,2001,4813542,2426673,1360199,2612422,2167563,161051,261382,154812,2787398,746406
170,West Bengal,District A,2011,861878,2436216,267628,1471080,59138,2672186,1951473,1306689,1042895,693466
171,Tamil Nadu,District D,2011,4757974,550817,1834836,2116512,2417428,2393697,646096,983932,469199,717342
172,Rajasthan,District B,2001,1012027,911261,2270140,969477,2891698,3149174,1476283,1472229,2895267,280967
173,Telangana,District A,2011,2044048,206317,2268971,2625001,2429551,2701289,1227051,1295398,2660537,356591
174,Karnataka,District E,2001,4848825,1198347,2327485,1680855,2573732,15622,1217990,52015,1675681,266747
175,Tamil Nadu,District A,2001,2676420,1330380,676445,602599,1148216,3382249,646014,780672,1398405,620758
176,West Bengal,District D,2001,3604278,2459475,1848724,1026726,1638439,3933637,1714172,1228452,471256,512188
177,Tamil Nadu,District E,2001,1760941,726377,662584,1496946,875806,894886,392786,1169295,56552,532573
178,Andhra Pradesh,District C,2011,923556,1647096,1734539,624926,2448263,2218847,1215100,977590,2309127,417382
179,Uttar Pradesh,District D,2001,4718493,2414079,951396,2996201,147649,3241397,1284219,429305,2121568,426648
180,West Bengal,District B,2011,2435060,81823,2067982,2779546,1902751,677641,1904351,1327621,2869612,197269
181,Telangana,District D,2011,1198173,1961105,2295939,2572530,1684657,2594509,553550,933454,1898113,667766
182,Kerala,District C,2011,1719838,1385491,699242,749076,2210598,552535,1045764,1318713,87729,234823
183,West Bengal,District D,2001,2209781,1951762,933282,231512,1958383,273354,1205988,853811,2040883,298778
184,Maharashtra,District C,2001,4428204,156759,1881548,1766931,826545,3267986,1697538,319271,1488596,329667
185,Bihar,District C,2011,2398142,2268057,1472643,335064,371050,2046898,776300,359671,159875,14844
186,Andhra Pradesh,District E,2001,3879961,2081869,423804,81500,2895642,470633,943560,341228,1047014,356208
187,Telangana,District C,2011,2647377,217141,2109087,2938577,1701360,3156229,593209,1342583,893332,483179
188,Telangana,District C,2001,4224270,647874,2234630,105476,2623168,1749221,233127,1277832,2825033,381363
189,Uttar Pradesh,District E,2001,3290888,1007534,2324735,428137,1499547,3188891,888459,1254062,2267011,453584
190,Bihar,District C,2001,4421033,903709,2110122,117552,1404730,3952167,86282,1322668,776179,616578
191,Bihar,District A,2011,2191860,1973445,2212686,475132,2480125,2205883,167170,659685,231876,172203
192,Uttar Pradesh,District D,2011,506827,1327986,1591648,2513935,2605758,2499009,863510,1310969,1115004,541596
193,Kerala,District A,2011,279017,800449,1597409,2906558,1006344,3244967,1638007,966441,1499288,509454
194,Karnataka,District C,2001,4670989,1803649,724108,943931,794662,1419740,723424,1487153,2174086,366987
195,Karnataka,District B,2001,512782,1708644,1828876,364694,1115040,1021604,1506888,1466539,2332895,374822
196,Uttar Pradesh,District C,2001,1894620,486518,1268557,1667222,2842461,2477158,928878,1392610,2828206,527189
197,West Bengal,District D,2001,887344,2411967,548817,2724692,2401110,870903,817315,75942,714629,436584
198,Kerala,District A,2001,2415845,1276993,2285459,642509,1621041,966747,943252,1190916,2620024,225370
199,Kerala,District B,2011,4682579,772268,612584,2997077,1401553,1028702,361723,1492156,1176985,516039
200,Andhra Pradesh,District A,2011,1773104,1319285,40804,1011321,350355,1502464,1161906,630144,2436503,382347
201,Tamil Nadu,District B,2011,804556,1489963,1317025,1894966,14058,1144370,1708198,523783,2456997,187640
202,Karnataka,District A,2001,3039912,1084927,2117809,1586306,964092,2413435,1364266,842035,1768099,234560
203,Karnataka,District E,2001,4600766,728413,419355,2809368,2442401,489459,691596,1395064,2538638,436843
204,Kerala,District C,2001,1086451,1920556,418858,2567275,369774,3874733,435142,146842,1143957,218994
205,Kerala,District A,2011,4880176,1499133,1452622,468311,2494775,3552256,1051009,1354723,2270460,512885
206,Bihar,District C,2001,4951640,1020772,764581,2505002,1700936,1456238,303166,1375048,405220,419839
207,Rajasthan,District D,2011,4568233,1945777,1495063,140779,2257054,3534832,1588443,1075877,753690,325561
208,Uttar Pradesh,District A,2011,3943605,646917,1364305,2598517,2562497,1603119,1679452,1419913,1391802,24327
209,Tamil Nadu,District A,2001,1364421,2305840,375790,2215696,2770320,1033187,1597778,1043313,1624288,643713
210,Telangana,District B,2001,1642532,1274568,757004,852744,2196581,28250,1966777,309463,1809941,395290
211,Rajasthan,District B,2001,4840113,1228152,1288669,2774672,1664979,1265571,1788975,1049784,2617593,717821
212,Uttar Pradesh,District D,2001,4367374,1664500,1167508,1100106,869787,353620,1453221,14893,2213362,592466
213,Bihar,District C,2011,4449586,1409433,2464854,1667099,1908962,3129602,1992239,97372,2933030,141470
214,Bihar,District C,2001,3916614,527214,1561190,2403930,1106277,1767148,538014,178236,2229502,634562
215,Rajasthan,District D,2001,4382070,1821342,562102,407419,2875599,2863727,828972,1134363,1149112,285653
216,Bihar,District D,2001,1517574,1504058,1198191,254865,1999939,3136554,1285459,119701,381274,609728
217,Telangana,District B,2011,1775540,2339141,2339085,1909239,1404376,2297724,465572,581776,1412944,637192
218,Tamil Nadu,District E,2011,4155409,1075918,109267,1623666,1537352,828181,1716680,1238380,2287236,194047
219,Uttar Pradesh,District D,2001,177821,1969381,115140,286457,12271,1690474,1171182,547013,1426382,417807
220,Telangana,District D,2001,4575256,1620121,2005363,1736763,2997160,2566963,1634228,1039645,378861,83838
221,Rajasthan,District B,2011,2696550,2056676,289617,2623211,679730,1705939,1155899,640226,715889,377881
222,West Bengal,District B,2011,4737853,125836,1410313,1019441,1887285,1930896,557219,957020,1661945,634788
223,Tamil Nadu,District A,2011,4002612,2331852,707789,116558,2392352,1998927,1926748,1263473,2222907,506215
224,West Bengal,District B,2001,2700949,787419,1132014,2088380,2021605,3797226,1657691,1277582,1871879,30245
225,Maharashtra,District C,2011,2090480,2070321,945274,1778859,2491805,2563187,1909504,78276,2788658,513746
226,Karnataka,District C,2011,497521,745666,1846718,2540774,658334,1461173,878417,1467349,2515127,497259
227,Rajasthan,District C,2011,1482758,1862347,1314023,1254052,1580730,1879739,1743738,955031,1088696,450899
228,Rajasthan,District C,2001,2335226,1486539,685243,2633108,2624626,1721768,737128,550237,626400,594796
229,Andhra Pradesh,District B,2001,2796943,143528,626139,1030336,1411653,1342292,293961,1397985,537545,249440
230,Telangana,District D,2001,4279167,37024,1645785,2959619,1572758,1177860,785996,947670,1988548,271422
231,Uttar Pradesh,District E,2011,1553692,518132,1748141,1823133,1064604,3220787,1323209,125726,2979612,179458
232,Bihar,District C,2011,1706901,775511,2379857,2413888,1763023,259346,1234673,491044,1145509,118265
233,Karnataka,District A,2001,1863844,389580,747174,2649919,1874522,674032,200801,638302,988430,3464
234,Kerala,District B,2011,1244698,1112047,2407655,2261608,1539597,641522,869936,185073,1038933,108681
235,Kerala,District D,2011,2973805,1749916,432551,1555088,1802852,2986126,591348,1083599,924985,489193
236,Telangana,District A,2011,4548465,599221,2446937,2447219,1890049,3309711,144946,1486731,1536735,721610
237,Bihar,District A,2011,3005061,2023025,1761846,1252315,1082791,1962735,247854,476910,2503667,526361
238,Telangana,District A,2011,2582695,2252157,646647,392846,559613,665375,988459,884434,2842411,379803
239,West Bengal,District A,2001,962913,776145,1304048,2383114,2541375,1699239,428408,1330793,1081334,203808
240,Uttar Pradesh,District A,2011,917568,1383190,2458674,231244,2893120,3005837,396590,1402790,446973,656185
241,Telangana,District D,2001,1935113,196841,730335,1764592,81058,3456349,178797,92356,2858633,260690
242,Bihar,District B,2011,3004328,1148340,436631,1684060,804247,129715,1687693,282249,1454838,733465
243,Karnataka,District B,2011,4058617,1653191,770452,2635704,2898531,1077725,424458,1029688,1271244,673483
244,Bihar,District A,2011,757226,216139,768865,795446,1145430,2701115,905922,913382,2344470,586381
245,Telangana,District B,2011,3600206,43748,185580,252595,1547915,2110306,768922,497021,822972,103530
246,Telangana,District A,2011,3025650,637340,903488,2849446,2010406,1996416,986071,644841,493433,546249
247,Bihar,District B,2011,4483876,448038,832624,1515337,2826523,967714,601517,1249949,1536758,610180
248,West Bengal,District B,2011,1877927,713010,2140397,156582,2053683,2631054,1666975,1025994,1812888,641594
249,Bihar,District A,2001,643644,735947,2187149,273736,183215,2929040,1224866,553641,695707,321437
250,Uttar Pradesh,District A,2001,2128373,1359678,422390,1883588,2399890,854185,822545,75023,2898038,16402
251,West Bengal,District D,2011,3258385,53722,1374033,517346,1068200,2872311,1236081,567179,2918331,166311
252,Tamil Nadu,District A,2001,1127003,1882458,1831665,1836862,864823,1396837,1048353,253470,1741705,152176
253,Kerala,District E,2011,2276565,1121081,2025156,528513,1753864,2006552,992824,624043,1706511,435860
254,Kerala,District B,2001,585268,2397806,74654,1708029,1563045,2063102,1760319,1164287,338772,97592
255,Telangana,District B,2011,3644745,146925,1076686,2394345,810774,3933704,1556544,153838,1915927,650304
256,Uttar Pradesh,District C,2001,4564165,363605,461479,2562052,1939660,1991025,103529,1496939,2953108,646612
257,West Bengal,District B,2001,338203,1427667,843451,2591330,1666240,888058,636586,995365,680370,71513
258,West Bengal,District D,2001,4193794,2186570,1596113,643015,1396026,575890,340055,711891,512555,148278
259,Uttar Pradesh,District E,2001,555510,972053,1061052,921726,1045900,570455,62333,1123863,245351,592709
260,Tamil Nadu,District E,2001,3219709,599889,578030,2824815,661704,3246843,1511984,145837,949478,658410
261,Karnataka,District A,2001,4415468,694957,1163734,1834375,2717254,1483191,1952770,49536,2417167,717377
262,Uttar Pradesh,District A,2011,3709278,446775,1830017,2483873,314813,3081102,1771315,1061602,39501,62682
263,West Bengal,District E,2011,3964265,1643164,127792,1860956,2834518,3935572,1627696,429538,2405894,184616
264,Uttar Pradesh,District A,2011,4739677,1706145,2204797,1762042,1503407,2541281,939687,197780,2687145,526927
265,Andhra Pradesh,District D,2011,3349554,1144388,815153,1872934,327899,1168356,634574,1093164,1446416,748772
266,Telangana,District A,2011,2758846,1627573,221455,546130,1160097,2941379,1162314,1025059,1800153,462484
267,Andhra Pradesh,District A,2001,1880094,1597900,840026,208253,2511237,3522500,1074270,312408,2087841,729979
268,Bihar,District C,2011,4255705,1197697,2260399,1901162,511907,2111360,551414,507463,1073976,631777
269,Telangana,District A,2011,4790712,1625057,273117,2048007,774463,3596349,1705221,341381,453681,673023
270,Tamil Nadu,District C,2011,3650767,2146795,634308,1522612,2173889,1144330,1634101,148821,2279862,270197
271,Bihar,District D,2011,2161389,2058878,39349,2923519,1933110,1818281,1313387,1318679,2285052,719392
272,Karnataka,District A,2001,3524510,2216763,1737424,1896950,820507,2355217,1862156,446244,292173,227960
